generation,best_fitness
0,1740
1,1738
2,1688
3,1613
4,1591
5,1591
6,1591
7,1591
8,1591
9,1591
10,1591
11,1591
12,1591
13,1591
14,1591
15,1534
16,1534
17,1534
18,1534
19,1534
20,1534
21,1534
22,1534
23,1534
24,1534
25,1522
26,1522
27,1467
28,1467
29,1467
30,1467
31,1467
32,1467
33,1460
34,1460
35,1460
36,1460
37,1460
38,1460
39,1460
40,1460
41,1460
42,1460
43,1460
44,1460
45,1460
46,1460
47,1460
48,1460
49,1460
50,1460
51,1460
52,1460
53,1460
54,1460
55,1460
56,1460
57,1460
58,1460
59,1460
60,1460
61,1460
62,1460
63,1460
64,1460
65,1460
66,1460
67,1460
68,1460
69,1460
70,1460
71,1460
72,1460
73,1460
74,1460
75,1460
76,1460
77,1460
78,1447
79,1447
80,1447
81,1447
82,1447
83,1447
84,1447
85,1447
86,1447
87,1447
88,1447
89,1416
90,1416
91,1416
92,1416
93,1416
94,1416
95,1416
96,1416
97,1416
98,1416
99,1416
100,1416
101,1416
102,1416
103,1416
104,1416
105,1416
106,1416
107,1416
108,1416
109,1416
110,1416
111,1416
112,1416
113,1416
114,1416
115,1416
116,1416
117,1416
118,1416
119,1416
120,1416
121,1416
122,1416
123,1416
124,1416
125,1416
126,1416
127,1416
128,1416
129,1416
130,1416
131,1416
132,1416
133,1416
134,1416
135,1416
136,1416
137,1416
138,1416
139,1416
140,1416
141,1416
142,1416
143,1416
144,1416
145,1416
146,1416
147,1416
148,1416
149,1416
150,1416
151,1416
152,1416
153,1416
154,1416
155,1416
156,1416
157,1416
158,1416
159,1416
160,1416
161,1416
162,1416
163,1416
164,1416
165,1416
166,1389
167,1389
168,1389
169,1389
170,1389
171,1389
172,1389
173,1389
174,1389
175,1389
176,1389
177,1389
178,1389
179,1389
180,1389
181,1389
182,1389
183,1389
184,1389
185,1389
186,1389
187,1389
188,1389
189,1389
190,1389
191,1389
192,1389
193,1389
194,1389
195,1389
196,1389
197,1389
198,1389
199,1389
200,1389
201,1389
202,1389
203,1389
204,1389
205,1389
206,1389
207,1389
208,1389
209,1389
210,1389
211,1389
212,1389
213,1389
214,1389
215,1389
216,1389
217,1389
218,1389
219,1389
220,1389
221,1389
222,1389
223,1389
224,1389
225,1389
226,1389
227,1389
228,1389
229,1389
230,1389
231,1389
232,1389
233,1389
234,1389
235,1389
236,1389
237,1389
238,1389
239,1389
240,1389
241,1389
242,1389
243,1389
244,1389
245,1389
246,1389
