generation,best_fitness
0,1610
1,1610
2,1610
3,1610
4,1610
5,1528
6,1528
7,1528
8,1528
9,1528
10,1528
11,1528
12,1528
13,1528
14,1528
15,1528
16,1528
17,1528
18,1528
19,1528
20,1528
21,1528
22,1528
23,1528
24,1528
25,1528
26,1528
27,1528
28,1528
29,1528
30,1468
31,1468
32,1468
33,1468
34,1468
35,1468
36,1468
37,1468
38,1468
39,1468
40,1468
41,1468
42,1468
43,1468
44,1468
45,1468
46,1468
47,1468
48,1468
49,1468
50,1468
51,1468
52,1468
53,1468
54,1468
55,1468
56,1468
57,1468
58,1468
59,1468
60,1468
61,1468
62,1468
63,1468
64,1468
65,1468
66,1468
67,1468
68,1468
69,1468
70,1468
71,1468
72,1468
73,1468
74,1468
75,1468
76,1468
77,1468
78,1468
79,1468
80,1468
81,1468
82,1468
83,1468
84,1468
85,1468
86,1468
87,1468
88,1468
89,1468
90,1468
91,1468
92,1468
93,1468
94,1468
95,1468
96,1468
97,1468
98,1468
99,1468
100,1468
101,1468
102,1468
103,1468
104,1468
105,1468
106,1468
107,1468
108,1468
109,1468
110,1468
111,1468
112,1468
113,1468
114,1468
115,1468
116,1468
117,1468
118,1468
119,1468
120,1468
121,1468
122,1468
123,1468
124,1468
125,1468
126,1468
127,1468
128,1468
129,1468
130,1468
131,1468
132,1468
133,1468
134,1447
135,1447
136,1447
137,1447
138,1447
139,1447
140,1447
141,1447
142,1447
143,1447
144,1447
145,1447
146,1447
147,1447
148,1447
149,1447
150,1409
151,1409
152,1409
153,1409
154,1409
155,1409
156,1409
157,1409
158,1409
159,1409
160,1409
161,1409
162,1409
163,1409
164,1409
165,1409
166,1409
167,1409
168,1409
169,1409
170,1409
171,1409
172,1409
173,1409
174,1409
175,1409
176,1409
177,1409
178,1409
179,1409
180,1409
181,1409
182,1409
183,1409
184,1409
185,1409
186,1409
187,1409
188,1409
189,1409
190,1409
191,1409
192,1409
193,1409
194,1409
195,1409
196,1409
197,1409
198,1409
199,1409
200,1409
201,1409
202,1409
203,1409
204,1409
205,1409
206,1409
207,1409
208,1409
209,1409
210,1409
211,1409
212,1409
213,1409
214,1409
215,1409
216,1409
217,1409
218,1409
219,1409
220,1409
221,1409
222,1409
223,1409
224,1409
225,1409
226,1409
227,1409
228,1409
229,1409
230,1409
231,1409
232,1409
233,1409
234,1409
235,1409
236,1409
237,1409
238,1409
239,1409
240,1409
241,1409
242,1409
243,1409
244,1409
245,1409
246,1409
247,1409
248,1409
249,1409
250,1409
251,1409
252,1409
253,1409
254,1409
255,1409
256,1409
257,1409
258,1409
259,1409
260,1409
261,1409
262,1409
263,1409
264,1409
265,1409
266,1409
267,1409
268,1409
269,1409
270,1409
271,1409
272,1409
273,1409
274,1409
275,1409
276,1409
277,1409
278,1409
279,1409
280,1409
281,1409
282,1409
283,1409
284,1409
285,1409
286,1409
287,1409
288,1409
289,1409
290,1409
291,1409
292,1409
293,1409
294,1409
295,1409
296,1409
297,1409
298,1409
299,1409
300,1409
