generation,best_fitness
0,1610
1,1610
2,1610
3,1583
4,1583
5,1521
6,1521
7,1467
8,1451
9,1450
10,1450
11,1407
12,1406
13,1394
14,1373
15,1373
16,1373
17,1340
18,1303
19,1303
20,1303
21,1300
22,1300
23,1300
24,1300
25,1300
26,1300
27,1294
28,1281
29,1281
30,1281
31,1281
32,1281
33,1281
34,1281
35,1281
36,1281
37,1281
38,1281
39,1281
40,1281
41,1281
42,1281
43,1281
44,1281
45,1281
46,1281
47,1281
48,1281
49,1281
50,1281
51,1281
52,1281
53,1281
54,1281
55,1281
56,1281
57,1281
58,1281
59,1281
60,1281
61,1281
62,1281
63,1281
64,1281
65,1281
66,1281
67,1281
68,1281
69,1281
70,1281
71,1281
72,1281
73,1281
74,1281
75,1281
76,1281
77,1281
78,1281
79,1281
80,1281
81,1281
82,1281
83,1281
84,1281
85,1281
86,1281
87,1281
88,1281
89,1281
90,1281
91,1281
92,1281
93,1281
94,1281
95,1281
96,1281
97,1281
98,1281
99,1281
100,1281
101,1281
102,1281
103,1281
104,1281
105,1281
106,1281
107,1281
108,1281
109,1281
110,1281
111,1281
112,1281
113,1281
114,1281
115,1281
116,1281
117,1281
118,1281
119,1281
120,1281
121,1281
122,1281
123,1281
124,1281
125,1281
126,1281
127,1281
128,1281
129,1281
130,1281
131,1281
132,1281
133,1281
134,1281
135,1281
136,1281
137,1281
138,1281
139,1281
140,1281
141,1281
142,1281
143,1281
144,1281
145,1281
146,1281
147,1281
148,1281
149,1281
150,1281
151,1281
152,1281
153,1281
154,1281
155,1281
156,1281
157,1281
158,1281
159,1281
160,1281
161,1281
162,1281
163,1281
164,1281
165,1281
166,1281
167,1281
168,1281
169,1281
170,1281
171,1281
172,1281
173,1281
174,1281
175,1281
176,1281
177,1281
178,1281
