generation,best_fitness
0,1740
1,1685
2,1584
3,1574
4,1574
5,1574
6,1560
7,1560
8,1545
9,1524
10,1516
11,1508
12,1508
13,1508
14,1494
15,1486
16,1440
17,1440
18,1435
19,1424
20,1424
21,1424
22,1424
23,1355
24,1355
25,1355
26,1355
27,1355
28,1355
29,1355
30,1348
31,1348
32,1348
33,1348
34,1348
35,1348
36,1348
37,1348
38,1348
39,1348
40,1348
41,1348
42,1348
43,1348
44,1348
45,1348
46,1348
47,1348
48,1348
49,1348
50,1348
51,1348
52,1348
53,1348
54,1348
55,1348
56,1348
57,1348
58,1348
59,1348
60,1348
61,1348
62,1348
63,1348
64,1348
65,1348
66,1348
67,1348
68,1348
69,1348
70,1348
71,1348
72,1348
73,1348
74,1348
75,1348
76,1348
77,1348
78,1348
79,1348
80,1348
81,1348
82,1348
83,1348
84,1348
85,1348
86,1348
87,1348
88,1348
89,1348
90,1348
91,1348
92,1348
93,1348
94,1348
95,1348
96,1348
97,1348
98,1348
99,1348
100,1348
101,1348
102,1348
103,1348
104,1348
105,1348
106,1348
107,1348
108,1348
109,1348
110,1348
