generation,best_fitness
0,1198
1,1146
2,1146
3,1146
4,1143
5,1143
6,1115
7,1113
8,1113
9,1057
10,1057
11,1057
12,1057
13,1057
14,1057
15,1057
16,1057
17,1057
18,1057
19,1057
20,1057
21,1057
22,1047
23,1008
24,1008
25,1008
26,1008
27,1008
28,1008
29,1008
30,1008
31,1008
32,1008
33,1008
34,1008
35,1008
36,1008
37,1008
38,1008
39,1008
40,1008
41,1008
42,1008
43,1008
44,1008
45,1008
46,982
47,982
48,982
49,982
50,982
51,982
52,982
53,982
54,982
55,982
56,982
57,982
58,982
59,982
60,982
61,982
62,982
63,982
64,982
65,982
66,982
67,982
68,982
69,982
70,982
71,982
72,982
73,982
74,982
75,982
76,982
77,982
78,982
79,982
80,982
81,982
82,982
83,982
84,982
85,982
86,982
87,982
88,982
89,982
90,982
91,982
92,982
93,982
94,982
95,982
96,968
97,968
98,968
99,968
100,968
101,968
102,948
103,948
104,935
105,935
106,935
107,935
108,935
109,935
110,935
111,935
112,930
113,930
114,930
115,930
116,930
117,930
118,930
119,930
120,930
121,930
122,930
123,919
124,919
125,919
126,919
127,919
128,907
129,907
130,907
131,907
132,907
133,907
134,907
135,907
136,907
137,907
138,907
139,906
140,906
141,906
142,906
143,906
144,906
145,906
146,906
147,906
148,906
149,906
150,906
151,906
152,906
153,906
154,906
155,906
156,906
157,906
158,903
159,903
160,903
161,903
162,903
163,903
164,903
165,903
166,903
167,903
168,903
169,903
170,903
171,903
172,903
173,890
174,890
175,890
176,890
177,890
178,890
179,890
180,890
181,890
182,890
183,890
184,890
185,890
186,890
187,890
188,890
189,890
190,890
191,890
192,890
193,890
194,890
195,890
196,890
197,890
198,890
199,890
200,890
201,890
202,890
203,890
204,890
205,890
206,890
207,890
208,890
209,890
210,890
211,890
212,890
213,890
214,890
215,890
216,890
217,890
218,890
219,890
220,890
221,890
222,890
223,890
224,890
225,890
226,890
227,890
228,890
229,890
230,890
231,890
232,890
233,890
234,890
235,890
236,890
237,890
238,890
239,890
240,890
241,890
242,890
243,890
244,890
245,890
246,890
247,890
248,890
249,890
250,890
251,890
252,890
253,890
254,890
255,890
256,889
257,889
258,889
259,889
260,889
261,889
262,889
263,889
264,889
265,889
266,889
267,889
268,889
269,889
270,889
271,889
272,889
273,889
274,889
275,889
276,889
277,889
278,889
279,889
280,889
281,882
282,882
283,882
284,882
285,882
286,882
287,882
288,882
289,882
290,882
291,882
292,882
293,882
294,882
295,882
296,882
297,882
298,882
299,882
300,882
301,882
302,882
303,882
304,882
305,882
306,882
307,882
308,882
309,882
310,882
311,882
312,882
313,882
314,882
315,882
316,882
317,882
318,882
319,882
320,882
321,882
322,882
323,882
324,882
325,882
326,882
327,882
328,882
329,882
330,882
331,882
332,882
333,882
334,882
335,882
336,882
337,882
338,882
339,882
340,882
341,882
342,882
343,882
344,882
345,882
346,882
347,882
348,882
349,882
350,882
351,882
352,882
353,882
354,882
355,882
356,882
357,882
358,882
359,877
360,877
361,877
362,877
363,877
364,877
365,877
366,877
367,877
368,877
369,877
370,877
371,877
372,877
373,877
374,877
375,877
376,877
377,877
378,877
379,866
380,866
381,866
382,866
383,866
384,866
385,866
386,866
387,866
388,866
389,866
390,866
391,866
392,866
393,866
394,866
395,866
396,866
397,864
398,864
399,864
400,864
401,864
402,864
403,864
404,864
405,864
406,864
407,864
408,864
409,864
410,864
411,864
412,864
413,864
414,864
415,864
416,864
417,864
418,864
419,864
420,862
421,862
422,862
423,862
424,862
425,862
426,862
427,862
428,862
429,862
430,862
431,862
432,862
433,862
434,862
435,862
436,862
437,862
438,862
439,862
440,862
441,862
442,862
443,862
444,862
445,862
446,862
447,862
448,862
449,862
450,862
451,862
452,862
453,862
454,862
455,862
456,862
457,862
458,862
459,862
460,862
461,862
462,862
463,862
464,862
465,862
466,862
467,862
468,862
469,862
470,862
471,862
472,862
473,862
474,862
475,862
476,862
477,862
478,862
479,862
480,862
481,862
482,862
483,862
484,862
485,862
486,862
487,862
488,862
489,862
490,862
491,862
492,862
493,862
494,862
495,862
496,862
497,862
498,862
499,862
500,862
501,862
502,862
503,862
504,862
505,862
506,862
507,862
508,862
509,862
510,862
511,862
512,862
513,862
514,862
515,862
516,862
517,862
518,862
519,862
520,862
521,862
522,862
523,862
524,862
525,862
526,862
527,862
528,862
529,862
530,862
531,862
532,862
533,862
534,862
535,862
536,862
537,862
538,862
539,862
540,862
541,862
542,862
543,862
544,862
545,862
546,862
547,862
548,862
549,862
550,862
551,862
552,862
553,862
554,862
555,862
556,862
557,862
558,862
559,862
560,862
561,862
562,862
563,862
564,862
565,862
566,862
567,862
568,862
569,862
570,862
571,862
572,862
573,862
574,862
575,862
576,862
577,862
578,862
579,862
580,862
581,862
582,862
583,862
584,862
585,862
586,862
587,862
588,862
589,862
590,862
591,862
592,862
593,862
594,862
595,862
596,862
597,862
598,862
599,862
600,862
601,862
602,862
603,862
604,862
605,862
606,862
607,862
608,862
609,862
610,862
611,862
612,862
613,862
614,862
615,862
616,862
617,862
618,862
619,862
620,862
