generation,best_fitness
0,1198
1,1174
2,1066
3,1049
4,1049
5,1049
6,1049
7,1049
8,1049
9,1049
10,1049
11,1047
12,1045
13,1045
14,1029
15,1029
16,1029
17,1005
18,1005
19,1005
20,1004
21,1004
22,1004
23,1004
24,1004
25,1004
26,1004
27,1004
28,1004
29,997
30,997
31,997
32,996
33,996
34,985
35,985
36,985
37,985
38,985
39,985
40,985
41,985
42,985
43,967
44,967
45,967
46,967
47,967
48,964
49,964
50,964
51,964
52,964
53,964
54,964
55,964
56,963
57,963
58,963
59,963
60,963
61,959
62,959
63,959
64,959
65,959
66,959
67,927
68,927
69,927
70,927
71,927
72,927
73,927
74,927
75,927
76,927
77,927
78,927
79,927
80,927
81,927
82,927
83,927
84,927
85,927
86,927
87,927
88,927
89,927
90,927
91,927
92,927
93,924
94,924
95,924
96,924
97,924
98,924
99,924
100,924
101,924
102,924
103,924
104,915
105,915
106,915
107,915
108,915
109,915
110,915
111,915
112,915
113,915
114,915
115,915
116,915
117,915
118,915
119,915
120,915
121,915
122,915
123,915
124,915
125,915
126,915
127,915
128,915
129,915
130,915
131,887
132,887
133,887
134,887
135,887
136,887
137,887
138,887
139,887
140,887
141,887
142,887
143,887
144,887
145,887
146,887
147,886
148,886
149,886
150,877
151,877
152,877
153,877
154,877
155,877
156,877
157,877
158,877
159,877
160,877
161,877
162,877
163,877
164,877
165,877
166,877
167,877
168,877
169,877
170,877
171,877
172,877
173,877
174,877
175,877
176,877
177,877
178,869
179,869
180,869
181,869
182,869
183,869
184,869
185,869
186,869
187,869
188,869
189,869
190,869
191,869
192,869
193,869
194,869
195,869
196,869
197,869
198,869
199,869
200,869
201,869
202,869
203,869
204,869
205,869
206,869
207,869
208,869
209,869
210,869
211,869
212,869
213,869
214,869
215,869
216,869
217,869
218,869
219,869
220,869
221,869
222,869
223,869
224,869
225,869
226,869
227,869
228,869
229,869
230,869
231,869
232,869
233,869
234,869
235,869
236,869
237,869
238,869
239,869
240,869
241,869
242,869
243,869
244,869
245,869
246,869
247,869
248,869
249,869
250,869
251,869
252,869
253,869
254,869
255,869
256,869
257,869
258,869
259,869
260,869
261,869
262,869
263,869
264,869
265,869
266,869
267,869
268,869
269,869
270,869
271,869
272,869
273,869
274,869
275,869
276,869
277,869
278,869
279,869
280,869
281,869
282,869
283,869
284,869
285,869
286,869
287,869
288,869
289,869
290,869
291,869
292,869
293,869
294,869
295,869
296,869
297,869
298,869
299,869
300,869
301,869
302,869
303,869
304,869
305,869
306,869
307,869
308,869
309,869
310,869
311,869
312,869
313,869
314,869
315,869
316,869
317,869
318,869
319,869
320,869
321,869
322,869
323,869
324,869
325,859
326,859
327,859
328,859
329,859
330,859
331,859
332,859
333,859
334,859
335,859
336,859
337,859
338,859
339,859
340,859
341,859
342,859
343,859
344,859
345,859
346,859
347,859
348,859
349,859
350,859
351,859
352,859
353,859
354,859
355,859
356,859
357,859
358,859
359,859
360,859
361,859
362,859
363,859
364,859
365,859
366,859
367,859
368,859
369,859
370,859
371,859
372,859
373,859
374,859
375,859
376,859
377,859
378,859
379,859
380,859
381,859
382,859
383,859
384,859
385,859
386,859
387,859
388,859
389,859
390,859
391,859
392,859
393,859
394,859
395,859
396,859
397,859
398,859
399,859
400,859
401,859
402,859
403,859
404,859
405,859
406,859
407,859
408,859
409,859
410,859
411,859
412,859
413,859
414,859
415,859
416,859
417,859
418,859
419,859
420,859
421,859
422,859
423,859
424,859
425,859
426,859
427,859
428,859
429,859
430,859
431,859
432,859
433,859
434,859
435,859
436,859
437,859
438,859
439,859
440,859
441,859
442,859
443,859
444,859
445,859
446,859
447,859
448,859
449,859
450,859
451,859
452,857
453,857
454,857
455,857
456,857
457,857
458,857
459,857
460,857
461,857
462,857
463,857
464,857
465,857
466,857
467,857
468,857
469,857
470,857
471,857
472,857
473,857
474,856
475,856
476,856
477,856
478,856
479,856
480,856
481,856
482,856
483,856
484,856
485,856
486,856
487,856
488,856
489,856
490,856
491,856
492,856
493,856
494,856
495,856
496,856
497,856
498,856
499,856
500,856
501,856
502,856
503,856
504,856
505,856
506,856
507,856
508,856
509,856
510,856
511,856
512,856
513,856
514,856
515,856
516,856
517,856
518,856
519,856
520,856
521,856
522,856
523,856
524,856
525,856
526,856
527,856
528,856
529,856
530,856
531,856
532,856
533,856
534,856
535,856
536,856
537,856
538,856
539,856
540,856
541,856
542,856
543,856
544,856
545,856
546,856
547,856
548,856
549,856
550,856
551,856
552,856
553,856
554,856
555,856
556,856
557,856
558,856
559,856
560,856
561,856
562,856
563,856
564,856
565,856
566,856
567,856
568,856
569,856
570,856
571,856
572,856
573,856
574,856
575,856
576,856
577,856
578,856
579,856
580,856
581,856
582,856
583,856
584,856
585,856
586,856
587,856
588,856
589,856
590,856
591,856
592,856
593,856
594,856
595,856
596,856
597,856
598,856
599,856
600,856
601,856
602,856
603,856
604,856
605,856
606,856
607,856
608,856
609,856
610,856
611,856
612,856
613,856
614,856
615,856
616,856
617,856
618,856
619,856
620,856
621,856
622,856
623,856
624,856
625,856
626,856
627,856
628,856
629,856
630,856
631,856
632,856
633,856
634,856
635,856
636,856
637,856
638,856
639,856
640,856
641,856
642,856
643,856
644,856
645,856
646,856
647,856
648,856
649,856
650,856
651,856
652,856
653,856
654,856
655,856
656,856
657,856
658,856
659,856
660,856
661,856
662,856
663,856
664,856
665,856
666,856
667,856
668,856
669,856
670,856
671,856
672,856
673,856
674,856
