generation,best_fitness
0,61
1,61
2,61
3,61
4,61
5,61
6,61
7,61
8,61
9,61
10,61
11,61
12,61
13,61
14,61
15,61
16,61
17,61
18,61
19,61
20,60
21,60
22,60
23,59
24,59
25,59
26,59
27,59
28,59
29,59
30,59
31,59
32,59
33,58
34,58
35,58
36,58
37,58
38,58
39,58
40,58
41,58
42,58
43,58
44,58
45,58
46,58
47,58
48,58
49,58
50,58
51,58
52,58
53,58
54,58
55,58
56,58
57,58
58,58
59,58
60,58
61,58
62,58
63,58
64,58
65,58
66,58
67,58
68,58
69,58
70,58
71,58
72,58
73,58
74,58
75,58
76,58
77,58
78,58
79,58
80,58
81,58
82,58
83,58
84,58
85,58
86,58
87,58
88,58
89,58
90,58
91,58
92,58
93,58
94,58
95,58
96,58
97,58
98,58
99,58
100,58
101,58
102,58
103,58
104,58
105,58
106,58
107,58
108,58
109,58
110,58
111,58
112,58
113,58
